,Player,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2021 Squad,Team
314,Upendra Singh Yadav,20 Lakh,WICKETKEEPER,,,,Unsold
372,Urvil Patel,20 Lakh,WICKETKEEPER,,,,Unsold
328,Usman Khawaja,1.5 Cr,BATTER,,,,Unsold
364,Utkarsh Singh,20 Lakh,ALL-ROUNDER,,,,Unsold
497,V Koushik,20 Lakh,BOWLER,,,,Unsold
555,V. Athisayaraj,20 Lakh,BOWLER,,,,Unsold
558,V. Gowtham,20 Lakh,BOWLER,,,,Unsold
106,Vaibhav Arora,20 Lakh,BOWLER,2,260,KKR,Punjab Kings
17,Varun Aaron,50 Lakh,BOWLER,0.5,65,,Gujarat Titans
75,Varun Chakaravarthy,Retained,BOWLER,8,1040,KKR,Kolkata Knight Riders
271,Vasu Vats,20 Lakh,BOWLER,,,,Unsold
74,Venkatesh Iyer,Retained,ALL-ROUNDER,8,1040,KKR,Kolkata Knight Riders
70,Vicky Ostwal,20 Lakh,ALL-ROUNDER,0.2,26,,Delhi Capitals
451,Vidyadhar Patil,20 Lakh,BOWLER,,,,Unsold
15,Vijay Shankar,50 Lakh,ALL-ROUNDER,1.4,182,SRH,Gujarat Titans
539,Vipul Krishna,20 Lakh,BOWLER,,,,Unsold
168,Virat Kohli,Retained,BATTER,15,1950,RCB,Royal Challengers Bangalore
267,Virat Singh,20 Lakh,BATTER,,,SRH,Unsold
247,Vishnu Solanki,20 Lakh,WICKETKEEPER,,,,Unsold
230,Vishnu Vinod,20 Lakh,WICKETKEEPER,0.5,65,DC,Sunrisers Hyderabad
579,Vivrant Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold
318,Vyshak Vijay Kumar,20 Lakh,BOWLER,,,,Unsold
170,Wanindu Hasaranga,1 Cr,ALL-ROUNDER,10.75,1397.5,RCB,Royal Challengers Bangalore
294,Waqar Salamkheil,50 Lakh,BOWLER,,,,Unsold
216,Washington Sundar,1.5 Cr,ALL-ROUNDER,8.75,1137.5,RCB,Sunrisers Hyderabad
465,Wayne Parnell,50 Lakh,ALL-ROUNDER,,,,Unsold
410,Wesley Agar,50 Lakh,BOWLER,,,,Unsold
13,Wriddhiman Saha,1 Cr,WICKETKEEPER,1.9,247,SRH,Gujarat Titans
118,Writtick Chatterjee,20 Lakh,ALL-ROUNDER,0.2,26,,Punjab Kings
6,Yash Dayal,20 Lakh,BOWLER,3.2,416,,Gujarat Titans
66,Yash Dhull,20 Lakh,ALL-ROUNDER,0.5,65,,Delhi Capitals
423,Yash Nahar,20 Lakh,BATTER,,,,Unsold
270,Yash Thakur,20 Lakh,BOWLER,,,,Unsold
198,Yashaswi Jaiswal,Retained,BATTER,4,520,RR,Rajasthan Royals
608,Yashovardhan Singh,20 Lakh,ALL-ROUNDER,,,,Unsold
429,Yudhvir Charak,20 Lakh,ALL-ROUNDER,,,MI,Unsold
599,Yuvraj Chaudhary,20 Lakh,ALL-ROUNDER,,,,Unsold
320,Yuvraj Chudasama,20 Lakh,BOWLER,,,,Unsold
196,Yuzvendra Chahal,2 Cr,BOWLER,6.5,845,RCB,Rajasthan Royals
292,Zahir Khan,50 Lakh,BOWLER,,,,Unsold
319,Zeeshan Ansari,20 Lakh,BOWLER,,,,Unsold
397,Zubayr Hamza,50 Lakh,BATTER,,,,Unsold
